timestamp,temperature,humidity,pressure,wind_speed,rain
2023-01-01 00:00:00,8.6,93.6,1013.0,5.2,1
2023-01-01 01:00:00,8.74,76.1,1013.0,7.6,0
2023-01-01 02:00:00,5.16,88.9,1013.1,4.1,0
2023-01-01 03:00:00,7.85,90.6,1013.1,0.9,0
2023-01-01 04:00:00,8.46,88.6,1013.2,2.6,1
2023-01-01 05:00:00,8.46,86.3,1013.2,7.1,1
2023-01-01 06:00:00,8.45,87.7,1013.2,2.7,1
2023-01-01 07:00:00,8.38,89.4,1013.2,6.2,1
2023-01-01 08:00:00,12.8,83.6,1013.2,3.6,0
2023-01-01 09:00:00,12.71,82.2,1013.1,9.8,1
2023-01-01 10:00:00,14.4,74.1,1013.1,6.7,0
2023-01-01 11:00:00,15.6,85.1,1013.1,0.3,1
2023-01-01 12:00:00,14.29,77.7,1013.1,1.4,1
2023-01-01 13:00:00,18.44,75.8,1013.1,3.8,1
2023-01-01 14:00:00,17.99,78.1,1013.2,0.9,1
2023-01-01 15:00:00,17.1,77.4,1013.2,7.1,0
2023-01-01 16:00:00,13.52,86.8,1013.1,4.4,1
2023-01-01 17:00:00,18.04,77.0,1013.1,1.2,0
2023-01-01 18:00:00,15.74,78.9,1013.2,4.5,1
2023-01-01 19:00:00,14.78,80.3,1013.2,1.3,0
2023-01-01 20:00:00,12.7,79.3,1013.2,5.3,1
2023-01-01 21:00:00,13.12,82.1,1013.2,1.8,1
2023-01-01 22:00:00,9.86,85.5,1013.1,7.2,0
2023-01-01 23:00:00,7.64,82.3,1013.1,2.5,1
2023-01-02 00:00:00,8.28,95.8,1013.1,2.3,1
2023-01-02 01:00:00,5.33,87.7,1013.0,9.0,0
2023-01-02 02:00:00,4.8,86.1,1013.0,6.8,1
2023-01-02 03:00:00,7.42,92.1,1013.0,3.5,1
2023-01-02 04:00:00,7.05,87.3,1012.9,7.7,1
2023-01-02 05:00:00,6.88,90.0,1012.9,1.6,0
2023-01-02 06:00:00,9.54,85.1,1012.9,4.3,0
2023-01-02 07:00:00,11.51,80.9,1013.0,5.2,1
2023-01-02 08:00:00,11.09,83.8,1012.9,6.7,1
2023-01-02 09:00:00,9.69,76.7,1012.9,3.8,1
2023-01-02 10:00:00,14.41,70.8,1012.9,2.4,0
2023-01-02 11:00:00,14.11,82.0,1012.9,4.2,0
2023-01-02 12:00:00,15.14,75.7,1012.9,6.2,0
2023-01-02 13:00:00,16.81,70.3,1012.9,2.6,1
2023-01-02 14:00:00,18.83,66.0,1012.8,2.4,0
2023-01-02 15:00:00,17.67,68.6,1012.8,2.6,0
2023-01-02 16:00:00,16.01,80.2,1012.8,1.1,1
2023-01-02 17:00:00,16.69,80.8,1012.8,0.1,0
2023-01-02 18:00:00,14.24,81.9,1012.8,4.9,0
2023-01-02 19:00:00,15.84,73.6,1012.8,0.5,1
2023-01-02 20:00:00,14.09,80.4,1012.9,1.8,0
2023-01-02 21:00:00,14.18,80.2,1012.9,4.4,0
2023-01-02 22:00:00,11.36,84.2,1012.9,3.8,1
2023-01-02 23:00:00,7.94,90.2,1012.9,1.1,1
2023-01-03 00:00:00,9.93,88.9,1012.9,3.7,1
2023-01-03 01:00:00,7.56,88.1,1012.9,9.2,0
2023-01-03 02:00:00,6.68,94.2,1012.9,0.8,1
2023-01-03 03:00:00,4.32,87.3,1012.9,4.0,1
2023-01-03 04:00:00,8.87,80.1,1012.8,3.1,1
2023-01-03 05:00:00,3.77,91.3,1012.8,1.1,1
2023-01-03 06:00:00,6.99,100.0,1012.8,0.5,1
2023-01-03 07:00:00,9.22,82.9,1012.8,5.0,0
2023-01-03 08:00:00,12.13,76.8,1012.7,1.9,1
2023-01-03 09:00:00,13.79,77.9,1012.7,4.8,0
2023-01-03 10:00:00,15.25,73.6,1012.8,1.9,0
2023-01-03 11:00:00,17.22,70.4,1012.8,2.2,1
2023-01-03 12:00:00,13.86,77.0,1012.8,3.0,0
2023-01-03 13:00:00,18.03,68.9,1012.8,1.7,1
2023-01-03 14:00:00,18.55,79.6,1012.8,9.4,1
2023-01-03 15:00:00,14.81,82.2,1012.9,3.5,0
2023-01-03 16:00:00,17.43,79.9,1013.0,5.9,0
2023-01-03 17:00:00,12.63,81.4,1012.9,5.2,1
2023-01-03 18:00:00,14.22,79.3,1012.8,2.1,1
2023-01-03 19:00:00,14.18,79.7,1012.8,6.5,1
2023-01-03 20:00:00,13.72,79.2,1012.9,7.0,1
2023-01-03 21:00:00,10.9,86.6,1012.9,16.6,1
2023-01-03 22:00:00,8.83,90.5,1012.9,0.8,1
2023-01-03 23:00:00,10.42,86.5,1012.9,0.3,0
2023-01-04 00:00:00,7.26,81.3,1012.9,3.7,1
2023-01-04 01:00:00,9.23,86.2,1012.9,3.8,1
2023-01-04 02:00:00,5.74,94.1,1012.9,3.3,1
2023-01-04 03:00:00,4.64,97.8,1013.0,4.1,1
2023-01-04 04:00:00,7.46,98.6,1013.1,3.4,1
2023-01-04 05:00:00,3.56,97.9,1013.1,2.9,0
2023-01-04 06:00:00,8.25,87.9,1013.2,5.7,1
2023-01-04 07:00:00,11.23,76.5,1013.2,3.3,0
2023-01-04 08:00:00,11.93,85.0,1013.1,4.2,1
2023-01-04 09:00:00,12.62,82.5,1013.0,4.6,1
2023-01-04 10:00:00,14.4,81.3,1013.0,4.6,1
2023-01-04 11:00:00,14.97,73.3,1013.0,4.9,0
2023-01-04 12:00:00,15.41,82.6,1013.0,6.9,1
2023-01-04 13:00:00,16.98,78.0,1012.9,2.5,1
2023-01-04 14:00:00,16.37,80.4,1012.9,5.2,1
2023-01-04 15:00:00,18.68,73.0,1012.9,2.7,1
2023-01-04 16:00:00,17.82,77.4,1012.9,7.9,1
2023-01-04 17:00:00,17.19,74.4,1012.9,3.8,0
2023-01-04 18:00:00,15.31,80.2,1012.9,5.0,0
2023-01-04 19:00:00,14.32,80.4,1013.0,6.8,0
2023-01-04 20:00:00,13.07,78.0,1013.0,2.2,0
2023-01-04 21:00:00,11.34,81.5,1013.0,1.5,1
2023-01-04 22:00:00,9.66,81.4,1013.0,6.3,1
2023-01-04 23:00:00,12.12,82.4,1013.0,2.9,0
2023-01-05 00:00:00,7.71,92.7,1013.0,3.7,1
2023-01-05 01:00:00,10.32,80.2,1013.0,3.6,0
2023-01-05 02:00:00,8.08,86.3,1012.9,2.7,0
2023-01-05 03:00:00,6.57,92.8,1013.0,7.4,1
2023-01-05 04:00:00,6.38,97.3,1013.1,1.3,0
2023-01-05 05:00:00,8.44,82.4,1013.1,2.1,1
2023-01-05 06:00:00,8.61,89.2,1013.0,0.3,1
2023-01-05 07:00:00,8.87,74.7,1013.1,1.6,0
2023-01-05 08:00:00,11.36,85.3,1013.1,9.0,0
2023-01-05 09:00:00,12.57,76.4,1013.1,2.0,1
2023-01-05 10:00:00,11.98,80.3,1013.1,1.7,0
2023-01-05 11:00:00,16.35,97.3,1013.2,2.9,1
2023-01-05 12:00:00,17.25,75.4,1013.2,3.1,0
2023-01-05 13:00:00,17.94,69.7,1013.1,1.1,1
2023-01-05 14:00:00,18.21,70.5,1013.2,1.2,0
2023-01-05 15:00:00,15.84,72.4,1013.2,2.5,0
2023-01-05 16:00:00,17.09,73.9,1013.2,1.3,1
2023-01-05 17:00:00,18.38,81.9,1013.1,3.9,0
2023-01-05 18:00:00,16.31,77.2,1013.1,2.0,1
2023-01-05 19:00:00,13.71,79.4,1013.1,2.2,1
2023-01-05 20:00:00,15.83,85.4,1013.1,0.4,1
2023-01-05 21:00:00,12.74,86.1,1013.1,6.0,1
2023-01-05 22:00:00,10.87,80.8,1013.2,6.9,0
2023-01-05 23:00:00,12.8,78.9,1013.2,1.7,1
2023-01-06 00:00:00,5.18,86.7,1013.2,6.0,1
2023-01-06 01:00:00,8.24,83.8,1013.2,3.3,0
2023-01-06 02:00:00,8.41,87.0,1013.2,0.2,1
2023-01-06 03:00:00,7.61,95.1,1013.2,3.8,1
2023-01-06 04:00:00,7.11,85.9,1013.2,9.0,1
2023-01-06 05:00:00,9.43,100.0,1013.2,2.8,1
